time,depth,latitude,longitude,o2,day,distance_km
2024-02-03,0.49402538,36.5,3.75,,2024-02-03,67.55982081549554
2024-02-03,0.49402538,36.75,2.5,248.36128,2024-02-03,49.893335851721524
2024-02-03,0.49402538,36.75,2.75,,2024-02-03,27.619548433415456
2024-02-03,0.49402538,36.75,3.0,,2024-02-03,5.345713953294998
2024-02-03,0.49402538,36.75,3.25,,2024-02-03,16.92811061876691
2024-02-03,0.49402538,36.75,3.5,,2024-02-03,39.201925363355656
2024-02-03,0.49402538,36.75,3.75,,2024-02-03,61.475673310100895
2024-02-03,0.49402538,37.0,2.5,247.5788,2024-02-03,57.043668759204486
2024-02-03,0.49402538,37.0,2.75,248.02469,2024-02-03,39.154960218269906
2024-02-03,0.49402538,37.0,3.0,248.00717,2024-02-03,28.306273869736685
2024-02-03,0.49402538,37.0,3.25,247.39757,2024-02-03,32.53286358811945
2024-02-03,0.49402538,37.0,3.5,246.93777,2024-02-03,48.00558097221438
2024-02-03,0.49402538,37.0,3.75,246.90831,2024-02-03,67.3771665595173
2024-02-03,0.49402538,37.25,2.5,247.03229,2024-02-03,74.59321055978846
2024-02-03,0.49402538,37.25,2.75,246.67183,2024-02-03,62.03979573410962
2024-02-03,0.49402538,37.25,3.0,245.83481,2024-02-03,55.85227782011057
2024-02-03,0.49402538,37.25,3.25,244.91978,2024-02-03,58.10140704804029
2024-02-03,0.49402538,37.25,3.5,244.65964,2024-02-03,67.95457758570011
2024-02-03,0.49402538,37.25,3.75,245.72888,2024-02-03,82.73827358954384
2024-02-03,1.5413754,36.25,2.5,,2024-02-03,74.81033821417587
2024-02-03,1.5413754,36.25,2.75,,2024-02-03,62.11983730345671
2024-02-03,1.5413754,36.25,3.0,,2024-02-03,55.85557448584465
2024-02-03,1.5413754,36.25,3.25,,2024-02-03,58.13350219663351
2024-02-03,1.5413754,36.25,3.5,,2024-02-03,68.10175849678386
2024-02-03,1.5413754,36.25,3.75,,2024-02-03,83.035373349154
2024-02-03,1.5413754,36.5,2.5,,2024-02-03,57.18584711457668
2024-02-03,1.5413754,36.5,2.75,,2024-02-03,39.218630748632165
2024-02-03,1.5413754,36.5,3.0,,2024-02-03,28.309899066231292
2024-02-03,1.5413754,36.5,3.25,,2024-02-03,32.56184297337359
2024-02-03,1.5413754,36.5,3.5,,2024-02-03,48.109971773295804
2024-02-03,1.5413754,36.5,3.75,,2024-02-03,67.55982081549554
2024-02-03,1.5413754,36.75,2.5,248.3695,2024-02-03,49.893335851721524
2024-02-03,1.5413754,36.75,2.75,,2024-02-03,27.619548433415456
2024-02-03,1.5413754,36.75,3.0,,2024-02-03,5.345713953294998
2024-02-03,1.5413754,36.75,3.25,,2024-02-03,16.92811061876691
2024-02-03,1.5413754,36.75,3.5,,2024-02-03,39.201925363355656
2024-02-03,1.5413754,36.75,3.75,,2024-02-03,61.475673310100895
