time,depth,latitude,longitude,thetao,day,distance_km
2024-02-03,2.645669,36.75,3.25,,2024-02-03,16.92811061876691
2024-02-03,2.645669,36.833336,2.8333435,16.369513,2024-02-03,22.20863381656194
2024-02-03,2.645669,36.833336,2.9166718,16.376627,2024-02-03,15.772124592603511
2024-02-03,2.645669,36.833336,3.0,16.347336,2024-02-03,10.696398658202174
2024-02-03,2.645669,36.833336,3.0833435,16.309929,2024-02-03,9.496747682395155
2024-02-03,2.645669,36.833336,3.1666718,16.273125,2024-02-03,13.270048906298761
2024-02-03,2.645669,36.833336,3.25,16.245852,2024-02-03,19.290330362086166
2024-02-03,2.645669,36.91667,2.8333435,16.347742,2024-02-03,27.393082527538727
2024-02-03,2.645669,36.91667,2.9166718,16.296165,2024-02-03,22.49852861582144
2024-02-03,2.645669,36.91667,3.0,16.237535,2024-02-03,19.286865452625985
2024-02-03,2.645669,36.91667,3.0833435,16.200882,2024-02-03,18.648990373299995
2024-02-03,2.645669,36.91667,3.1666718,16.186855,2024-02-03,20.82299777897512
2024-02-03,2.645669,36.91667,3.25,16.173435,2024-02-03,25.08797191414032
2024-02-03,3.819495,36.583336,2.8333435,,2024-02-03,27.42486183499686
2024-02-03,3.819495,36.583336,2.9166718,,2024-02-03,22.513610945271516
2024-02-03,3.819495,36.583336,3.0,,2024-02-03,19.289317853545782
2024-02-03,3.819495,36.583336,3.0833435,,2024-02-03,18.648702135525184
2024-02-03,3.819495,36.583336,3.1666718,,2024-02-03,20.831708919035847
2024-02-03,3.819495,36.583336,3.25,,2024-02-03,25.112182506309033
2024-02-03,3.819495,36.66667,2.8333435,,2024-02-03,22.228234819302035
2024-02-03,3.819495,36.66667,2.9166718,,2024-02-03,15.782881420103022
2024-02-03,3.819495,36.66667,3.0,,2024-02-03,10.698609465725811
2024-02-03,3.819495,36.66667,3.0833435,,2024-02-03,9.496464669132697
2024-02-03,3.819495,36.66667,3.1666718,,2024-02-03,13.276882967911245
2024-02-03,3.819495,36.66667,3.25,,2024-02-03,19.306074472517334
2024-02-03,3.819495,36.75,2.8333435,16.329409,2024-02-03,20.194040166169533
2024-02-03,3.819495,36.75,2.9166718,,2024-02-03,12.76987826840439
2024-02-03,3.819495,36.75,3.0,,2024-02-03,5.345713953294998
2024-02-03,3.819495,36.75,3.0833435,16.17702,2024-02-03,2.079801567910821
